name,price_eur
"Apple MacBook Air M1 256GB, Space grau",912.99
Apple MacBook Air M2 Chip 8-Core CPU und 8-Core GPU 8GB gem. RAM 256GB SSD DE - Mitternacht,1098.0
"Apple MacBook Air gold, Apple M1, 7 Core GPU, 8GB RAM, 256GB SSD [2020 / Z12A] (MGND3D/A",955.68
"Apple MacBook Air (13""",1578.74
Apple Macbook PRO 14 M2 PRO 12C/19C 16GB RAM 1TB SSD - SPACE GREY,2881.12
Apple MacBook Pro TB Apple M2 Chip 8?Core CPU und 10?Core GPU 8GB gem. RAM 256GB SSD DE - Space Grau,1447.22
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 512GB SSD DE - Silber,1658.6
Apple MacBook Pro TB Apple M2 Chip 8?Core CPU und 10?Core GPU 8GB gem. RAM 512GB SSD DE - Space Grau,1642.69
Apple Macbook Pro 14 M2 MAX 12C/30C grau,3626.35
Apple MacBook Pro 14 M2 PRO 10C/16C 32GB RAM 512GB SSD 67W - GREY,2988.69
"Apple MacBook Air Z124 256GB SSD, grau",1215.41
Apple MacBook Pro 14 M2 PRO 10C/16C 32GB RAM 1TB SSD 67W - SILVER,3480.26
APPLE MACBOOK PRO 14 M2 PRO 12C/19C 32GB RAM 1TB SSD 96W - GREY,3615.88
Apple Macbook Pro M2 CHIP 8C/10C 16GB RAM 256GB SSD - SPACE GREY,1911.97
APPLE MACBOOK AIR 15 M2 8C/10C/16C 16GB RAM 512GB,2152.4
Apple MacBook Pro 14 M2 PRO 10C/16C 16GB RAM 1TB SSD 67W - GREY,2962.01
Apple Macbook Air M2 8C/10C/16C 24GB Ran midnight,2633.26
Apple Macbook Air 13 M2 CHIP 8C/10C 24GB RAM 1TB 35W MIDNIGHT,2445.09
Apple MacBook Pro 14 M2 PRO 10C/16C 32GB RAM 1TB SSD 96W - GREY,3250.02
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 512GB 67W space grey,1859.71
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 256GB 30W STARLIGHT,1598.37
Apple Macbook Air 13 M2 CHIP 8C/8C,1722.68
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 512GB 35W silver,1964.24
Apple Macbook Pro 14 M2 MAX 12C/30C 32GB grau,3866.79
Apple MacBook Pro 16 M2 MAX 12C/38C 96GB RAM 2TB SSD - GREY,5779.78
Apple MacBook Pro M2 Max 32GB 1TB silber,3752.79
APPLE MACBOOK AIR 15 M2 8C/10C/16C 16GB RAM 256GB,1911.97
Apple Macbook AIR M2 CHIP 8C/8C 24GB RAM 512GB 67W SPACE GREY,2100.13
Apple Macbook Air 13 M2 CHIP 8C/10C,2204.67
Apple Macbook Air 13 M2 CHIP 8C/8C 8GB RAM 1TB 30W STARLIGHT,1879.94
APPLE MacBook Air Z15W Apple M2 8C CPU/10C GPU/16C N.E. 8GB 512GB SSD 35W Dual USB-C DE - Silber,1506.94
Apple Macbook PRO 16 M2 MAX 12C/30C 32GB RAM 1TB SSD - GREY,4096.77
APPLE MACBOOK PRO 14 M2 PRO 12C/19C,3547.56
Apple MacBook Pro 14 M2 PRO 10C/16C 32GB RAM 512GB SSD 96W - GREY,3009.58
Apple MacBook Pro Z17H Apple M2 Max 12C CPU/30C GPU/16C N.E. 32GB 1TB SSD 96W USB-C DE - Grau,3378.58
Apple MacBook Pro TB Z16S Apple M2 8C CPU/10C GPU/16C N.E. 24GB 1TB SSD 67W USB-C DE - Grau,2350.21
Apple Macbook Pro M2 8C/10C 16GB RAM 512GB SSD - SILVER,2152.38
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 1TB 67W MIDNIGHT,2204.67
Apple Macbook Air 13 M2 CHIP 8C/8C 24GB RAM 1TB 30W MIDNIGHT,2319.64
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 512GB 67W midnight,1964.24
Apple Macbook PRO 14 M2 PRO 10C/16C 16GB RAM 512GB SSD - SPACE GREY,2366.52
Apple Macbook PRO 16 M2 MAX 12C/38C 32GB RAM 1TB SSD - SPACE GREY,3789.6
"Apple MacBook Air Z127 Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 16GB 1TB SSD, silber",1647.94
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 512GB 30W silver,1838.8
"Apple MacBook Pro Space Gray,M1, 8GB RAM, 256GB SSD [2020 / Z11B] (MYD82D/A",1251.83
Apple APPLE Macbook PRO 16 M2 MAX 12C/30C,3944.96
Apple Macbook PRO 14 M2 PRO 10C/16C,3433.82
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 512GB SSD DE - Polarstern,1642.69
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 256GB 30W space grey,1598.37
Apple MacBook AIR M2 CHIP 8C/8C,1838.8
APPLE MACBOOK AIR 15 M2 8C/10C/16C,2152.4
Apple MacBook Air Z15S Apple M2 8C CPU/8C GPU/16C N.E. 24GB 512GB SSD 30W USB-C DE - Grau,1856.55
Apple MacBook Pro 16 M2 PRO 12C/19C 32GB RAM 512GB SSD - SILVER,3897.13
Apple Macbook AIR 13 M1 CHIP 8C (Z127MGN93GR05,1215.41
Apple MacBook Air Z127 Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 16GB 256GB SSD DE - Silber,1215.41
