name,display_cm
"Apple MacBook Air M1 256GB, Space grau",33.8
Apple MacBook Air M2 Chip 8-Core CPU und 8-Core GPU 8GB gem. RAM 256GB SSD DE - Mitternacht,34.5
"Apple MacBook Air gold, Apple M1, 7 Core GPU, 8GB RAM, 256GB SSD [2020 / Z12A] (MGND3D/A",33.8
"Apple MacBook Air (13""",34.5
Apple Macbook PRO 14 M2 PRO 12C/19C 16GB RAM 1TB SSD - SPACE GREY,36.1
Apple MacBook Pro TB Apple M2 Chip 8?Core CPU und 10?Core GPU 8GB gem. RAM 256GB SSD DE - Space Grau,33.8
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 512GB SSD DE - Silber,38.9
Apple MacBook Pro TB Apple M2 Chip 8?Core CPU und 10?Core GPU 8GB gem. RAM 512GB SSD DE - Space Grau,33.8
Apple Macbook Pro 14 M2 MAX 12C/30C grau,
Apple MacBook Pro 14 M2 PRO 10C/16C 32GB RAM 512GB SSD 67W - GREY,
"Apple MacBook Air Z124 256GB SSD, grau",33.8
Apple MacBook Pro 14 M2 PRO 10C/16C 32GB RAM 1TB SSD 67W - SILVER,
APPLE MACBOOK PRO 14 M2 PRO 12C/19C 32GB RAM 1TB SSD 96W - GREY,
Apple Macbook Pro M2 CHIP 8C/10C 16GB RAM 256GB SSD - SPACE GREY,
APPLE MACBOOK AIR 15 M2 8C/10C/16C 16GB RAM 512GB,
Apple MacBook Pro 14 M2 PRO 10C/16C 16GB RAM 1TB SSD 67W - GREY,
Apple Macbook Air M2 8C/10C/16C 24GB Ran midnight,
Apple Macbook Air 13 M2 CHIP 8C/10C 24GB RAM 1TB 35W MIDNIGHT,34.5
Apple MacBook Pro 14 M2 PRO 10C/16C 32GB RAM 1TB SSD 96W - GREY,
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 512GB 67W space grey,34.5
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 256GB 30W STARLIGHT,34.5
Apple Macbook Air 13 M2 CHIP 8C/8C,34.5
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 512GB 35W silver,34.5
Apple Macbook Pro 14 M2 MAX 12C/30C 32GB grau,
Apple MacBook Pro 16 M2 MAX 12C/38C 96GB RAM 2TB SSD - GREY,
Apple MacBook Pro M2 Max 32GB 1TB silber,41.1
APPLE MACBOOK AIR 15 M2 8C/10C/16C 16GB RAM 256GB,
Apple Macbook AIR M2 CHIP 8C/8C 24GB RAM 512GB 67W SPACE GREY,34.5
Apple Macbook Air 13 M2 CHIP 8C/10C,34.5
Apple Macbook Air 13 M2 CHIP 8C/8C 8GB RAM 1TB 30W STARLIGHT,34.5
APPLE MacBook Air Z15W Apple M2 8C CPU/10C GPU/16C N.E. 8GB 512GB SSD 35W Dual USB-C DE - Silber,
Apple Macbook PRO 16 M2 MAX 12C/30C 32GB RAM 1TB SSD - GREY,
APPLE MACBOOK PRO 14 M2 PRO 12C/19C,
Apple MacBook Pro 14 M2 PRO 10C/16C 32GB RAM 512GB SSD 96W - GREY,
Apple MacBook Pro Z17H Apple M2 Max 12C CPU/30C GPU/16C N.E. 32GB 1TB SSD 96W USB-C DE - Grau,
Apple MacBook Pro TB Z16S Apple M2 8C CPU/10C GPU/16C N.E. 24GB 1TB SSD 67W USB-C DE - Grau,
Apple Macbook Pro M2 8C/10C 16GB RAM 512GB SSD - SILVER,
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 1TB 67W MIDNIGHT,34.5
Apple Macbook Air 13 M2 CHIP 8C/8C 24GB RAM 1TB 30W MIDNIGHT,34.5
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 512GB 67W midnight,34.5
Apple Macbook PRO 14 M2 PRO 10C/16C 16GB RAM 512GB SSD - SPACE GREY,36.1
Apple Macbook PRO 16 M2 MAX 12C/38C 32GB RAM 1TB SSD - SPACE GREY,41.1
"Apple MacBook Air Z127 Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 16GB 1TB SSD, silber",33.8
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 512GB 30W silver,34.5
"Apple MacBook Pro Space Gray,M1, 8GB RAM, 256GB SSD [2020 / Z11B] (MYD82D/A",33.8
Apple APPLE Macbook PRO 16 M2 MAX 12C/30C,
Apple Macbook PRO 14 M2 PRO 10C/16C,36.1
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 512GB SSD DE - Polarstern,38.9
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 256GB 30W space grey,34.5
Apple MacBook AIR M2 CHIP 8C/8C,34.5
APPLE MACBOOK AIR 15 M2 8C/10C/16C,
Apple MacBook Air Z15S Apple M2 8C CPU/8C GPU/16C N.E. 24GB 512GB SSD 30W USB-C DE - Grau,
Apple MacBook Pro 16 M2 PRO 12C/19C 32GB RAM 512GB SSD - SILVER,
Apple Macbook AIR 13 M1 CHIP 8C (Z127MGN93GR05,33.8
Apple MacBook Air Z127 Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 16GB 256GB SSD DE - Silber,33.8
Apple MacBook Pro M2 8/10Core/8GB/512GBSSD/Silber MacOS,33.8
"Apple MacBook Pro M1 Pro chip with 10-core CPU and 16-core GPU, 16GB,1TB SSD, grau",36.1
"Apple MacBook Air M2 (8 Core, 8 GB, 256 GB SSD",34.5
Apple MacBook Pro M2 8/10Core/8GB/256GBSSD/Silber MacOS,33.8
Apple MacBook Pro M2 Max 30-Core/32GB/1TBSSD/Spacegr MacOS,36.1
Apple MacBook Pro Z175 Apple M2 Max 12C CPU/30C GPU/16C N.E. 32GB 1TB SSD 140W USB-C DE - Grau,
Apple MacBook Pro M2 Pro 16GB 1TB silber,41.1
Apple Macbook PRO 14 M2 PRO 12C/19C 16GB RAM 1TB SSD - SILVER,36.1
Apple MacBook Pro TB Z16R Apple M2 8C CPU/10C GPU/16C N.E. 16GB 512GB SSD 67W USB-C DE - Grau,
Apple MacBook Pro M2 Max 32GB 1TB silber,36.1
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 256GB SSD DE - Silber,38.9
"Apple MacBook Air M2 8 Core, 8 GB, 512 GB SSD",34.5
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 512GB SSD DE - Mitternacht,38.9
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 512GB SSD DE - Space Grau,38.9
Apple Macbook PRO 16 M2 PRO 12C/19C 16GB RAM 1TB SSD - SPACE GREY,41.1
"Apple MacBook Air (13""",34.5
Apple MacBook Pro M2 Pro 16GB 512GB silber,41.1
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 256GB SSD DE - Polarstern,38.9
"Apple MacBook Air M2 8 Core, 8 GB, 512GB SSD spacegrau",34.5
Apple MacBook Air Z15S Apple M2 8C CPU/8C GPU/16C N.E. 8GB 256GB SSD Grau,34.5
"Apple MacBook Air M2 8 Core, 8 GB, 256 GB SSD polarstern",34.5
"Apple MacBook Air silber, Apple M1, 7 Core GPU, 8GB RAM, 256GB SSD [2020 / Z127] (MGN93D/A",33.8
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 256GB SSD DE - Space Grau,38.9
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 256GB SSD DE - Mitternacht,38.9
"Apple MacBook Air Z12A Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 16GB 256GB SSD, gold",33.8
Apple Macbook Air 13 M2 CHIP 8C/8C 8GB RAM 512GB 30W MIDNIGHT,34.5
Apple MacBook Pro 16 M2 MAX 12C/38C 64GB RAM 1TB SSD - GREY,
Apple Macbook Pro 16 M2 PRO 12C/19C,
Apple Macbook AIR 13 M2 CHIP 8C/10C,34.5
APPLE MACBOOK AIR 13 M2 CHIP 8C/10C,34.5
APPLE MACBOOK AIR 15 M2 8C/10C/16C 8GB RAM 2TB,
Apple MacBook Air Z127 Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 8GB 256GB SSD EN int - silber,
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 512GB 30W starlight,34.5
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 1TB 67W SPACE GREY,34.5
Notebook Apple Macbook Pro 14 M2 PRO 10C/16C,
Apple Macbook PRO 16 M2 PRO 12C/19C 16GB RAM 512GB SSD - SPACE GREY,41.1
Apple MacBook Air Z15T Apple M2 8C CPU/10C GPU/16C N.E. 24GB 1TB SSD 35W Dual USB-C DE - Grau,
